Price (Rs.),Discount (%),Final_Price(Rs.),Purchase_Year,Purchase_Month,Purchase_Day,Purchase_DayOfWeek,Purchase_IsWeekend,Category_Books,Category_Clothing,Category_Electronics,Category_Home & Kitchen,Category_Sports,Category_Toys,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Net Banking,Payment_Method_UPI
36.53,15,31.05,2024,11,12,1,0,0,0,0,0,1,0,0,0,1,0
232.79,20,186.23,2024,2,9,4,0,0,1,0,0,0,0,0,0,1,0
317.02,25,237.76,2024,9,1,6,1,0,0,0,0,1,0,1,0,0,0
173.19,25,129.89,2024,4,1,0,0,0,0,0,0,0,1,0,0,0,1
244.8,20,195.84,2024,9,27,4,0,0,0,0,0,0,0,0,0,1,0
241.86,50,120.93,2024,8,8,3,0,1,0,0,0,0,0,0,0,0,1
76.91,5,73.06,2024,3,28,3,0,0,0,0,0,0,1,1,0,0,0
213.23,20,170.58,2024,5,29,2,0,0,0,0,0,1,0,0,0,1,0
379.81,5,360.82,2024,2,26,0,0,0,0,0,0,1,0,1,0,0,0
415.36,50,207.68,2024,1,11,3,0,0,0,0,1,0,0,0,0,1,0
73.09,10,65.78,2024,10,21,0,0,1,0,0,0,0,0,0,0,0,0
393.77,15,334.7,2024,9,10,1,0,0,0,0,0,0,0,0,0,0,0
287.69,10,258.92,2024,3,8,4,0,0,0,0,1,0,0,1,0,0,0
26.26,50,13.13,2024,5,10,4,0,0,0,0,0,1,0,1,0,0,0
305.1,25,228.83,2024,6,20,3,0,0,1,0,0,0,0,0,0,0,1
113.71,5,108.02,2024,4,28,6,1,0,0,0,1,0,0,1,0,0,0
426.75,0,426.75,2024,8,17,5,1,0,0,0,0,0,1,0,0,1,0
52.98,0,52.98,2024,8,8,3,0,0,0,0,1,0,0,0,0,1,0
223.89,0,223.89,2024,6,13,3,0,0,0,1,0,0,0,0,0,0,0
166.75,0,166.75,2024,9,23,0,0,0,1,0,0,0,0,0,1,0,0
77.22,15,65.64,2024,6,1,5,1,0,0,0,1,0,0,0,0,0,0
28.6,25,21.45,2024,4,19,4,0,0,0,0,0,0,1,1,0,0,0
